13 SALARIO,92894044.07
ABONO DE PERMANENCIA,9066114.39
ADICIONAL DE INSALUBRIDADE,7899442.01
ADICIONAL DE PERICULOSIDADE,769682.33
ADICIONAL NOTURNO,979674.77
ADICIONAL POR PLANTAO HOSPITALAR,2051024.21
ADICIONAL POR TEMPO DE SERVICO PESSOAL CIVIL,14524620.76
AJUDA DE CUSTO  PESSOAL CIVIL,112979.21
ALIMENTOS PARA ANIMAIS,192613.49
ANIMAIS PARA PESQUISA E ABATE,8770.0
APAR EQUIP UTENS MED O DONT LABOR HOSPIT ,1931637.23
APARELHOS DE MEDICAO E ORIENTACAO,41932.48
APARELHOS E EQUIPAMENTOS DE COMUNICACAO,153569.15
APARELHOS E UTENSILIOS DOMESTICOS,56764.53
APOIO ADMINISTRATIVO  TECNICO E OPERACIONAL,35841574.73
APOSENT ORIGINARIA DE SUBSIDIOS  PESSOAL CIV,1661701.15
APOSENTADORIAS  RESERVA REMUNERADA E REFORMAS,903041.01
AQUISICAO DE SOFTWARE,290721.33
ARMAZENAGEM,101805.75
ASSESSORIA E CONSULTORI TECNICA OU JURIDICA,685.16
ASSINATURAS DE PERIODICOS E ANUIDADES,444428.88
AUXILIO A PESQUISADORES,25259956.14
AUXILIO AAS ATIVIDADES AUXILIARES DE PESQUI,44250.0
AUXILIO ALIMENTACAO,33567054.23
AUXILIO BOLSA A PESQUISADORES,74000.0
AUXILIO CRECHE,4013765.98
AUXILIO FINANCEIRO A ESTUDANTES,30000.0
AUXILIO FINANCEIRO A PESQUISADORES,64000.0
AUXILIO FUNERAL ATIVO CIVI,256845.98
AUXILIO NATALIDADE ATIVO CIVIL,84880.48
AUXILIO TRANSPORTE,3830290.77
AUXILIOS PARA DESENV  DE ESTUDOS E PESQUISAS,4874054.3
BANDEIRAS FLAMULAS E INSIGNIAS,500.0
BOLSAS DE ESTUDO NO PAI,24317786.34
CAPATAZIA ESTIVA E PESAGEM,57.2
COLECOES E MATERIAIS BIBLIOGRAFICOS,63136.94
COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS,578795.24
COMISSOES E CORRETAGEN,4492.0
COMPLEMENTACAO DE APOSENTADORIAS  PES CIVIL,445052.68
COMUNICACAO DE DADOS,3069.85
CONDOMINIOS,2258318.39
CONFECCAO DE MATERIAL D ACONDIC E EMBALAGEM,12212.8
CONFECCAO DE UNIFORMES BANDEIRAS E FLAMULAS,1719.0
CONTRIBUICAO PATRONAL  FUNPRESP LEI 12618 12,2706495.7
DESENVOLVIMENTO DE SOFTWARE ,850360.13
DIARIAS A COLABORADORES EVENTUAIS NO PAIS,10389.4
DIREITOS AUTORAIS,110057.95
DISCOTECAS E FILMOTECAS NAO IMOBILIZAVEL,7075.37
ENTIDADES REPRESENTATIVAS DE CLASSE,184311.05
EQUIP E MAT  PERMANENTE  PAGTO ANTECIPADO,2939895.57
EQUIP E UTENSILIOS HIDRAULICOS E ELETRICOS,69862.16
EQUIPAMENTO DE PROTECA SEGURANCA E SOCORRO,5875.0
EQUIPAMENTOS DE PROCESSAMENTO DE DADO,13013682.71
EQUIPAMENTOS PARA AUDI VIDEO E FOTO,545535.07
ESTAGIARIOS,8943786.22
ESTUDOS E PROJETOS,17119.38
EXPOSICOES  CONGRESSOS E CONFERENCIAS,985246.5
FERIAS  1 3 CONSTITUCIONAL,13967061.21
FERIAS  ABONO CONSTITUCIONAL,15404609.78
FERIAS  PAGAMENTO ANTECIPADO,2501725.98
FERIAS PAGAMENTO ANTECIPADO  CONTRATOS TEMPO,1822.87
FERIAS VENCIDAS E PROPORCIONAIS,3571009.06
FERIAS VENCIDAS PROPORCIONAIS  CONTRATO TEMP,753207.44
FERRAMENTAS,3282.68
FESTIVIDADES E HOMENAGENS,474104.12
FORNECIMENTO DE ALIMENTACAO,33438293.61
FRETES E TRANSPORTES D ENCOMENDAS,173422.57
GAS E OUTROS MATERIAIS ENGARRAFADOS,140712.23
GENEROS DE ALIMENTACA,330033.15
GRAT POR EXERCICIO DE FUNCOES COMISSIONADAS,4221254.17
GRATIFICACAO DE TEMPO D SERVICO,10726887.08
GRATIFICACAO P EXERCICI DE CARGO EM COMISSAO,5090413.0
GRATIFICACAO POR ATIVIDADES EXPOSTAS,92925.49
GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO,224616433.54
HOSPEDAGENS,1207560.07
IMPOSTO DE RENDA,3648.77
IMPOSTO S PROP PREDIAL TERRIT URBANA IPTU,30928.28
INCORPORACOES,1505441.65
INDENIZACAO DE TRANSPORTE  PESSOAL CIVIL,105.76
INDENIZACAO EM DECORRENCIA DE ADESAO AO PDV ,21337.29
INDENIZACOES,142305.73
JUROS,397.47
LIMPEZA E CONSERVACAO,38050438.3
LOCACAO BENS MOV  OUT NATUREZAS E INTANGIVEIS,18261.79
LOCACAO DE IMOVEIS,848429.1
LOCACAO DE MAQUINAS E EQUIPAMENTOS,178821.85
LOCACAO DE MEIOS DE TRANSPORTE,3713100.99
LOCACAO DE SOFTWARES,111338.72
MANUT E CONS DE B MOVEI DE OUTRAS NATUREZAS,3885367.58
MANUT E CONSERV DE MAQUINAS E EQUIPAMENTO,5071458.6
MANUTENCAO DE SOFTWAR,413140.41
MANUTENCAO E CONSERV  DE BENS IMOVEIS,7567806.26
MANUTENCAO E CONSERV  DE VEICULOS,365879.12
MANUTENCAO E CONSERV DE EQUIPAMENTOS,63914.0
MANUTENCAO E CONSERVACAO DE BENS IMOVEI,746630.82
MAQ  FERRAMENTAS E UTENSILIOS DE OFICINA,2390.37
MAQUINAS E EQUIPAMENTO AGRIC E RODOVIARIOS,72260.16
MAQUINAS E EQUIPAMENTO DE NATUREZA INDUSTRIA,6157.5
MAQUINAS E EQUIPAMENTO ENERGETICOS,18655.91
